court_number_link,court_number,style_of_cause,nature_of_proceeding,re_link
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2210-18,T-2210-18,OUTOTEC (SWEDEN) AB v. NORAM ENGINEERING AND CONSTRUCTORS LTD.,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2210-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2180-18,T-2180-18,INTERNATIONAL KARATE-DO GOJU-KAI ASSOCIATION CANADA ET AL. v. 1446148 AB Ltd,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2180-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2183-18,T-2183-18,TEVA CANADA INNOVATION AND OTHERS v. PHARMASCIENCE INC. AND OTHERS,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2183-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2182-18,T-2182-18,TEVA CANADA INNOVATION ET AL. v. PHARMASCIENCE ET AL.,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2182-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2155-18,T-2155-18,"OTTER PRODUCTS, LLC v. CELLCO INC.",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2155-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2153-18,T-2153-18,"2042923 ONTARIO INC. d.b.a. TRAVEL LEADERS v. TRAVEL LEADERS GROUP, LLC",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2153-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2136-18,T-2136-18,"FRIEDRICH GELDBACH GMBH v. M. GELDBACH (SHANXI) FLANGE & FITTINGS CO, LTD",Trade Mark Expungement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2136-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2141-18,T-2141-18,AM ROYALTIES LIMITED PARTNERSHIP ET AL v. FIRST BITCOIN CAPITAL CORP ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2141-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2127-18,T-2127-18,9197-6449 QUÉBEC INC. v. ANTHONY BENDA et al,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2127-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-2023-18,T-2023-18,ALLERGAN INC. v. SANDOZ CANADA INC. ET AL,Patented Medicines (NOC) Regulations [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-2023-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1989-18,T-1989-18,ASTRAZENECA CANADA INC ET AL v. TARO PHARMACEUTICALS INC.,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1989-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1994-18,T-1994-18,BROWNS SOCIAL HOUSE LTD v RUSTIC SOCIAL HOUSE INC,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1994-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1983-18,T-1983-18,1657619 ONTARIO INC INC. c/o/b/a Window Choice v. EURO CHOICE WINDOWS & DOOR,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1983-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1979-18,T-1979-18,"BODUM USA, INC. et al v. STOKES INC.",Trade Mark - Passing Off,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1979-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1963-18,T-1963-18,ROBERT FORGET c. CHARM JEWELRY LIMITED,Trade Mark Expungement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1963-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1961-18,T-1961-18,POWER BATTERY SALES LTD. v. BATTERTIES DU QUEBEC INC.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1961-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1956-18,T-1956-18,2008474 ONTARIO INC. v. 9181563 CANADA INC.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1956-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1951-18,T-1951-18,"ADIDAS AG, ADIDAS CANADA LTD., ET AL v. TORONTO ITALIANS BOUTIQUE LTD. ET AL",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1951-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1952-18,T-1952-18,CANADIAN ASSOCIATION OF BLUE CROSS PLANS v. N.W.A. NEUROLOGICAL WELLNESS ASS,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1952-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1944-18,T-1944-18,"BRANDSTORM, INC. v. NATURALLY SPLENDID ENTERPRISES LTD.",Trade Mark Opposition,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1944-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1937-18,T-1937-18,BELL MEDIA INC. v. VIDEOTRON LTD.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1937-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1906-18,T-1906-18,SOCAN v. 2476926 ONTARIO INCORPORATED c.o.b. as ARIIUS NIGHTCLUB ET AL,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1906-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1905-18,T-1905-18,SOCAN v. 9469567 CANADA INC. c.o.b. as DREAM RESTO LOUNGE,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1905-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1894-18,T-1894-18,NAMASTE TECHNOLOGIES INC. v. NAMASTE NATURAL HEALTH LTD. ET AL.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1894-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1895-18,T-1895-18,"BODUM USA INC., et al v. HOME HARDWARE STORES LTD",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1895-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1883-18,T-1883-18,"BODM USA, INC. and other v KITCHEN STUFF PLUS INC.",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1883-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1855-18,T-1855-18,LOUIS VUITTON MALLETIER S.A. ET AL v. XIAN QIONG HONG(AKA-CANDY) ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1855-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1832-18,T-1832-18,LOUIS VUITTON MALLETIER S.A. ET AL v. GIUSEPPINA MICELI ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1832-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1818-18,T-1818-18,"OAKLEY, INC. v. LES PIÈCES D'AUTOS PRUD'HOMME INC.",Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1818-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1811-18,T-1811-18,"BYC, INC. v. 1806806 ALBERTA LTD.",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1811-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1768-18,T-1768-18,BAYER INC. ET AL v. APOTEX INC.,Patented Medicines (NOC) Regulations [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1768-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1760-18,T-1760-18,C.W. PARSONS LTD. v PARSONS PAVING LTD.,Intellectual Property - Other Applications under the Rules,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1760-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1736-18,T-1736-18,OBSIDIAN GROUP INC. v. THE ATTORNEY GENERAL OF CANADA,S. 18.1 Application for Judicial Review,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1736-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1739-18,T-1739-18,ISCADA INC. v. AVENTUM IP LAW LLP,Trade Mark Expungement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1739-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1730-18,T-1730-18,THE REGISTRAR OF TRADEMARKS v. COLE FLATH ET AL,Trade Mark Expungement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1730-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1724-18,T-1724-18,"MONDO FOODS CO.LTD. v 2130545 ONTARIO INC. D/B/A ""PASTA MONDO""",Intellectual Property - Other Applications under the Rules,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1724-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1714-18,T-1714-18,SOCAN v. 2524117 ONTARIO INC. c.o.b. as THE BABY G,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1714-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1709-18,T-1709-18,2154378 ONTARIO INC. v. HEATHER MELISSA STILES ET AL.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1709-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1715-18,T-1715-18,FCA US LLC v. PENTASTAR TRANSPORTATION LTD.,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1715-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1612-18,T-1612-18,"AMERICAN AUTOMOBILE ASSOCIATION, INC. v. KENNETH J. DOUGLAS ET AL",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1612-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1608-18,T-1608-18,COREY BESSNER CONSULTING INC. v. CORE CONSULTANTS REALTY INC. ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1608-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1597-18,T-1597-18,LUOIS VUITTON MALLETIER S.A. ET AL v. SEAN OPHER EREZ ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1597-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1599-18,T-1599-18,CANNEX FINANCIAL EXCHANGES LIMITED v. CANNEX CAPITAL GROUP INC. ET AL,S. 18.1 Application for Judicial Review,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1599-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1577-18,T-1577-18,RAPIDGROW INDUSTRIES INC. v. SUPERNATURALS GRAFTED VEGETABLES LLC,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1577-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1559-18,T-1559-18,"GIVE AND GO PREPARED FOODS CORP. v DOMEX SUPERFRESH GROWERS, LLC",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1559-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1566-18,T-1566-18,LAP CHI DUONG v. HOCKEY CANADA,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1566-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1564-18,T-1564-18,LAP CHI DUONG v. HOCKEY CANADA,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1564-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1565-18,T-1565-18,LAP CHI DUONG v. HOCKEY CANADA,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1565-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1525-18,T-1525-18,REUSABLE BAG INDUSTRIES PTY LTD v. MARAT GAISIN,Trade Mark Expungement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1525-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1526-18,T-1526-18,STEVEN SCOTT HANFT v. CANADIAN INTELLECTUAL PROPERTY OFFICE,Trade Mark Opposition,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1526-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1478-18,T-1478-18,Teva Canada Innovation et al v. Sandoz Canada Inc.,Patented Medicines (NOC) Regulations [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1478-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1459-18,T-1459-18,THE REGISTRAR OF TRADEMARKS v. LE GROUPE BARIZCO INC.,Trade Mark - Correction of Register,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1459-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1446-18,T-1446-18,SOFIE GAGATEK v. GOWLINGS WLG (CANADA) LLP,Trade Mark Expungement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1446-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1434-18,T-1434-18,SOCAN v. FULOP INVESTMENT CORP. and OTHER,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1434-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1416-18,T-1416-18,BIOGEN CANADA INC. and OTHERS v. APOTEX INC.,Patented Medicines (NOC) Regulations [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1416-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1395-18,T-1395-18,ATP NUTRITION LTD. v. AMERICAN ASSOCIATION,S. 18.1 Application for Judicial Review,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1395-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1385-18,T-1385-18,GUARDIAN CHEMICALS INC. v. ANDEMAR DUST & ICE CONTROL LIMITED,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1385-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1383-18,T-1383-18,"673753 ONTARIO LIMITED dba ""TRAFFIX"" v. TRAFFIX INC. ET AL",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1383-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1351-18,T-1351-18,HI-STAR FRANCHISE SYSTEMS. INC. v. STEMP & cOMPANY,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1351-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1344-18,T-1344-18,HUMAN RESOURCES SYSTEMS GROUP LTD. v. UNIVERSITY OF GUELPH,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1344-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1328-18,T-1328-18,FIND THE DUST BUNNY INC. v. LINDSEY FORSYTH ET AL,Trade Mark Expungement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1328-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1306-18,T-1306-18,BOATHOUSE ROW INC. v. JOHN PEEL AND ASSOCIATES LIMITED,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1306-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1303-18,T-1303-18,"KALYAN PUROHIT a.k.a. CLEMONT GORE v. LEGEND PICTURES, LLC ET AL",Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1303-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1260-18,T-1260-18,K W JOHNSTON REAL ESTATE LTD v. LIV PROPERTY MANAGEMENT  CORP,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1260-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1259-18,T-1259-18,Acer Incorporated v. PBX Holding LLC et al,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1259-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1198-18,T-1198-18,VANCOUVER ASSOC. FOR INJURED MOTORCYCLISTS v. INTERIOR BC ASSOC. FOR INJURED,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1198-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1195-18,T-1195-18,"CANADA BREAD COMPANY, LIMITED v DR. SMOOD APS",Trade Mark Opposition,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1195-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1193-18,T-1193-18,HERITAGE REALTY PROPERTIES LTD. v. SWANS OF INGLEWOOD RESTAURANT LTD. ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1193-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1178-18,T-1178-18,KIM LONG DISTRIBUTIONS INC. c. GUIXENS FOOD GROUP INC.,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1178-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1171-18,T-1171-18,RIVERSIDE NATURAL FOODS LTD. v. BRANSON`S SPECIALITY FOODS LTD. ET AL.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1171-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1163-18,T-1163-18,BIOGEN CANADA INC ET AL v. TARO PHARMACEUTICALS INC,Patented Medicines (NOC) Regulations [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1163-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1133-18,T-1133-18,MERCK SHARP & DOHME CORP. ET AL v. GLAXOSMITHKLINE BIOLOGICALS S.A.,Patent Conflict,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1133-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1111-18,T-1111-18,LOUIS VUITTON MALLETIER S.A. ET AL. v. KHALID SHARIF ET AL.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1111-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1093-18,T-1093-18,BRANSON'S SPECIALTY FOODS LTD. ET AL. v. RIVERSIDE NATURAL FOODS LTD.,S. 18.1 Application for Judicial Review,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1093-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1079-18,T-1079-18,Aries Contracting (Ottawa) Inc.  v.  Aries Plumbing & Heating Ltd.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1079-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1011-18,T-1011-18,JORDAN S. POTIUK PROFESSIONAL CORPORATION et al v. NICOLINA CAMARDA,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1011-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1049-18,T-1049-18,"RE/MAX, LLC v. SAVE MAX REAL ESTATE, INC. ET AL.",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1049-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-999-18,T-999-18,NEXT FLOOR INC. v. BEAULIEU CANADA COMPANY/COMPAGNIE BEAULIEU CANADA,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-999-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-983-18,T-983-18,KRBL LIMITED v. VERKA FOOD INTERNATIONAL LIMITED,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-983-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-929-18,T-929-18,"GALDERMA CANADA INC., et al. v. APOTEX INC.",Patented Medicines (NOC) Regulations [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-929-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-921-18,T-921-18,EAGLE RESTORATION INC. ET AL v. GAGA ENDELADZE o/a EGAL BUILDING RESTORATION,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-921-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-904-18,T-904-18,CHAIN REACTION BICYCLES INC. v. CHAIN REACTION CYCLES LTD. ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-904-18&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-880-18,T-880-18,LIBRATEL INC v ATLANTIA HOLDINGS INC,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-880-18&select_court=T
