court_number_link,court_number,style_of_cause,nature_of_proceeding,re_link
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1240-02,T-1240-02,DIMPLEX NORTH AMERICA LIMITED v. GLOBALTEC DISTRIBUTERS LTD ET AL,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1240-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1246-02,T-1246-02,L. MURRAY DALLAS ET AL v. TREE SAVERS INTERNATIONAL INC.,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1246-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1237-02,T-1237-02,PIZZA DELIGHT CORPORATION LTD v. GESTION PIZZEDELIC INC,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1237-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1230-02,T-1230-02,COLLEGE OF CHIROPODISTS OF ONTARIO v. CANADIAN PODIATRIC MEDICAL ASSOCIATION,Trade Mark - Appeal of a decision of the Registrar,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1230-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1213-02,T-1213-02,FUTUREMED HEALTH CARE PRODUCTS INC. v. THE REGISTRAR OF TRADE MARKS ET AL,Trade Mark Expungement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1213-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1189-02,T-1189-02,JACK DANIEL'S PROPERTIES INC. v. OVAL FRAMECRAFT INC.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1189-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1169-02,T-1169-02,"CHRISTIAN CASEY COMPANY ET AL v. JANE DOE, JOHN DOE ET AL",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1169-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1170-02,T-1170-02,PHAT FASHIONS LLC ET AL v. JANE DOE ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1170-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1171-02,T-1171-02,MICROSOFT CORPORATION v. BORIS STEFANOVIC ET AL,Copyright Infringement [Actions],http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1171-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1163-02,T-1163-02,PFIZER PRODUCTS INC. ET AL v. SOUL OF NATURE INC.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1163-02&select_court=T
